,GRANDI AMICIZIE E GRANDI RIVALITÀ,,,,,,,,,
,,,,,,,,,,
,Giocatore 1,Giocatore 2,Partite insieme,Vittorie,Sconfitte,Partite contro,Vittoria 1,Vittoria 2,,Totale partite
,Domenico Scarafile,Giovanni Schifone,9,8,1,14,7,7,,23
,Michele Chirico,Vincenzo Carlucci,7,3,4,13,7,6,,20
LA SFIDA MAESTRA,Gianni Di Punzio,Vincenzo Carlucci,7,2,5,12,7,5,,19
,Tommaso Urgesi,Vincenzo Carlucci,10,4,6,11,6,5,,21
,Michele Chirico,Tommaso Urgesi,7,6,4,11,5,6,,18
,Biagio Bruno,Michele Chirico,5,6,2,10,5,5,,15
,Matteo Carlucci,Oronzo Camarda,5,6,2,9,3,6,,14
DERBY D'ITALIA,Biagio Bruno,Vincenzo Carlucci,9,3,6,8,7,1,,17
,Alberto Scarafile,Massimiliano Chirico,6,2,4,7,4,3,,13
,Luigi Memmola,Giovanni Schifone,4,3,1,5,2,3,,9
,Oronzo Camarda,Francesco Urgesi,2,0,2,5,3,2,,7
,Giovanni Schifone,Giuseppe Piro,8,5,3,4,3,1,,12
,Marco Di Coste,Gianni Di Punzio,0,0,0,4,1,3,,4
,Antonio Mustich,Massimiliano Chirico,3,0,3,3,1,2,,6
,Piero Quaranta,Alberto Scarafile,2,0,2,3,3,0,,5
,Piero Quaranta,Massimiliano Chirico,1,1,0,3,1,2,,4
,Giovanni Schifone,Sandro Galasso,4,2,2,2,2,0,,6
,Oronzo Camarda,Gabriele Chiari,2,1,1,2,0,2,,4
,Michele Chirico,Domenico De Milato,1,1,0,2,2,0,,3
,Sandro Galasso,Massimiliano Chirico,4,2,2,1,0,1,,5
,Antonio Mustich,Luigi Memmola,1,1,0,1,0,1,,2